mal_id,title_english,type,source,episodes,status,airing,rating,score,scored_by,rank,popularity,members,favorites,year,genres,studios
42886,Legend of the Galactic Heroes: Die Neue These - Collision,Movie,Novel,12,Finished Airing,FALSE,R - 17+ (violence & profanity),8.32,9880,298,4902,26033,148,,"Drama, Sci-Fi",Production I.G
42894,Natsume's Book of Friends: The Waking Rock and the Strange Visitor,Movie,Manga,1,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.17,13898,470,3430,53406,111,,"Slice of Life, Supernatural",Shuka
42897,Horimiya,TV,Manga,13,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.18,980147,457,80,1611436,39544,2021,Romance,CloverWorks
42938,Fruits Basket: The Final Season,TV,Manga,13,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.94,276997,17,444,556341,21281,2021,"Drama, Romance, Supernatural",TMS Entertainment
42941,Umamusume: Pretty Derby Season 2,TV,Game,13,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.31,55928,309,2280,105535,1789,2021,Sports,Studio KAI
42984,Gotcha!,Music,Game,1,Finished Airing,FALSE,PG - Children,8.31,20335,,4558,30847,219,,Fantasy,Bones
43325,Moriarty the Patriot Part 2,TV,Manga,13,Finished Airing,FALSE,R - 17+ (violence & profanity),8.29,136109,328,956,288909,3310,2021,"Mystery, Suspense",Production I.G
43608,Kaguya-sama: Love is War -Ultra Romantic-,TV,Manga,13,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.96,625481,16,164,1094411,33031,2022,"Comedy, Romance",A-1 Pictures
44055,Sasaki and Miyano,TV,Web manga,12,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.18,105973,450,1194,233755,5634,2022,Boys Love,Studio Deen
44070,Heaven Official's Blessing Special,ONA,Web novel,1,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.49,30844,167,3203,60175,531,,"Action, Adventure, Drama, Fantasy",Haoliners Animation
44074,Link Click,ONA,Original,11,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.71,186312,59,543,472851,14746,,"Drama, Mystery, Suspense",LAN Studio
44087,Gintama: The Semi-Final,Special,Manga,2,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.45,46760,189,2503,91900,268,,"Action, Comedy",Bandai Namco Pictures
44412,Fights Break Sphere 4,ONA,Web novel,24,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.25,4941,362,7137,10224,110,,"Action, Adventure, Fantasy, Romance",Motion Magic
44511,Chainsaw Man,TV,Manga,12,Finished Airing,FALSE,R - 17+ (violence & profanity),8.43,1114252,199,50,1921445,55045,2022,"Action, Fantasy",MAPPA
44940,World Trigger 3rd Season,TV,Manga,14,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.24,54630,377,1859,139302,1290,2021,"Action, Sci-Fi",Toei Animation
45556,Scissor Seven: Xuanwu Kingdom Chapter,ONA,Original,10,Finished Airing,FALSE,R - 17+ (violence & profanity),8.42,45794,216,2644,83580,884,,"Action, Adventure, Comedy, Drama, Mystery",Sharefun Studio
45576,Mushoku Tensei: Jobless Reincarnation Part 2,TV,Light novel,12,Finished Airing,FALSE,R - 17+ (violence & profanity),8.61,694663,105,160,1103240,19191,2021,"Adventure, Drama, Fantasy, Ecchi",Studio Bind
45577,IDOLISH7 Third BEAT!,TV,Game,13,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.24,9220,380,4848,26767,415,2021,Drama,TROYCA
45649,The First Slam Dunk,Movie,Manga,1,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.7,35408,65,2815,75255,1053,,"Award Winning, Sports","Toei Animation, DandeLion Animation Studio"
46095,Vivy -Fluorite Eye's Song-,TV,Original,13,Finished Airing,FALSE,R - 17+ (violence & profanity),8.38,270438,239,409,602496,11481,2021,"Action, Sci-Fi, Suspense",Wit Studio
46102,Odd Taxi,TV,Original,13,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.63,248010,92,505,503884,9123,2021,"Award Winning, Drama, Mystery, Suspense","OLM, P.I.C.S."
46654,IDOLiSH7 Third BEAT! Part 2,TV,Game,17,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.35,6064,263,5698,17848,282,2022,Drama,TROYCA
47194,Summer Time Rendering,TV,Manga,25,Finished Airing,FALSE,R - 17+ (violence & profanity),8.46,285956,181,364,666235,11282,2022,"Mystery, Supernatural, Suspense",OLM
47778,Demon Slayer: Kimetsu no Yaiba Entertainment District Arc,TV,Manga,11,Finished Airing,FALSE,R - 17+ (violence & profanity),8.7,1100892,62,72,1714419,25152,2022,"Action, Supernatural",ufotable
47794,MILGRAM,Music,Other,,Currently Airing,TRUE,PG-13 - Teens 13 or older,8.22,2106,,6437,13045,260,,Suspense,OTOIRO
47917,Bocchi the Rock!,TV,4-koma manga,12,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.73,467456,48,294,772770,36103,2022,Comedy,CloverWorks
48316,The Eminence in Shadow,TV,Light novel,20,Finished Airing,FALSE,R - 17+ (violence & profanity),8.22,459817,400,254,846199,18018,2022,"Action, Comedy, Fantasy",Nexus
48561,Jujutsu Kaisen 0,Movie,Manga,1,Finished Airing,FALSE,R - 17+ (violence & profanity),8.37,769004,246,134,1228111,11099,,"Action, Supernatural",MAPPA
48569,86 Eighty-Six Part 2,TV,Light novel,12,Finished Airing,FALSE,R - 17+ (violence & profanity),8.72,367199,55,388,629602,18287,2021,"Drama, Sci-Fi",A-1 Pictures
48583,Attack on Titan: Final Season Part 2,TV,Manga,12,Finished Airing,FALSE,R - 17+ (violence & profanity),8.77,916552,44,92,1534424,32211,2022,"Action, Drama, Suspense",MAPPA
48653,Racing into the Night,Music,Other,1,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.31,12192,,5505,19544,93,,,
49114,The Case Study of Vanitas Part 2,TV,Manga,12,Finished Airing,FALSE,R - 17+ (violence & profanity),8.19,148979,448,807,341049,2921,2022,"Action, Fantasy, Mystery",Bones
49310,Fruits Basket: Prelude,Movie,Manga,1,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.36,49693,255,1969,129251,874,,"Drama, Romance",TMS Entertainment
49387,Vinland Saga Season 2,TV,Manga,24,Finished Airing,FALSE,R - 17+ (violence & profanity),8.82,469927,34,262,833295,20117,2023,"Action, Adventure, Drama",MAPPA
49413,Link Click Season 2,ONA,Original,12,Finished Airing,FALSE,R - 17+ (violence & profanity),8.64,78421,84,1612,168214,2136,,"Drama, Mystery, Suspense",LAN Studio
49458,KonoSuba: God's Blessing on This Wonderful World! 3,TV,Light novel,11,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.34,232669,279,461,538930,5574,2024,"Adventure, Comedy, Fantasy",Drive
49571,Swallowed Star 2nd Season,ONA,Web novel,26,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.29,3347,327,7524,8906,143,,"Action, Adventure, Fantasy, Sci-Fi",Sparkly Key Animation Studio
49574,A Will Eternal 2nd Season,ONA,Web novel,54,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.19,3036,449,7402,9273,102,,"Action, Adventure, Fantasy",B.CMAY PICTURES
49590,The Tatami Time Machine Blues,ONA,Novel,6,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.17,15746,476,3104,64128,344,,"Comedy, Mystery, Romance, Suspense",Science SARU
49701,Battle Through the Heavens: Three Year Agreement,ONA,Web novel,13,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.55,5071,129,6788,11472,207,,"Action, Adventure, Fantasy",Motion Magic
49721,Teasing Master Takagi-san 3,TV,Manga,12,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.36,95510,260,1314,210229,2350,2022,"Comedy, Romance",Shin-Ei Animation
49722,Teasing Master Takagi-san: The Movie,Movie,Manga,1,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.41,43059,220,2453,94068,768,,Romance,Shin-Ei Animation
49818,Lord of Mysteries,ONA,Web novel,13,Finished Airing,FALSE,R - 17+ (violence & profanity),8.61,68845,99,1428,191899,3920,,"Action, Fantasy, Mystery, Suspense",B.CMAY PICTURES
49918,My Hero Academia Season 6,TV,Manga,25,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.22,413931,398,278,805727,7356,2022,Action,Bones
49926,Demon Slayer: Kimetsu no Yaiba Mugen Train Arc,TV,Manga,7,Finished Airing,FALSE,R - 17+ (violence & profanity),8.34,582274,278,201,959745,4653,2021,"Action, Supernatural",ufotable
50160,Kingdom Season 4,TV,Manga,26,Finished Airing,FALSE,R - 17+ (violence & profanity),8.73,39918,50,2544,88674,1195,2022,Action,"Studio Pierrot, Studio Signpost"
50172,Mob Psycho 100 III,TV,Web manga,12,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.71,436124,61,257,844777,12469,2022,"Action, Comedy, Supernatural",Bones
50183,Blue Giant,Movie,Manga,1,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.38,17425,240,3656,47478,477,,,Nut
50250,Chiikawa,TV,Web manga,,Currently Airing,TRUE,G - All Ages,8.55,5438,129,5643,18246,609,2022,Slice of Life,Doga Kobo
50265,Spy x Family,TV,Manga,12,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.43,1146359,197,57,1861550,41190,2022,"Action, Award Winning, Comedy","Wit Studio, CloverWorks"
50330,Bungo Stray Dogs 4,TV,Manga,13,Finished Airing,FALSE,R - 17+ (violence & profanity),8.42,146261,205,761,354429,3414,2023,"Action, Mystery",Bones
50399,Heaven Official's Blessing Season 2,ONA,Web novel,12,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.64,24498,87,3115,63542,1292,,"Action, Adventure, Drama, Fantasy",Red Dog Culture House
50407,Fog Hill of Five Elements 2nd Season,ONA,Original,4,Finished Airing,FALSE,R - 17+ (violence & profanity),8.32,6210,295,5561,19020,126,,"Action, Fantasy",Samsara Animation Studio
50594,Suzume,Movie,Original,1,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.24,273483,376,517,492506,5421,,"Adventure, Supernatural",CoMix Wave Films
50602,Spy x Family Part 2,TV,Manga,13,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.2,608445,431,156,1116254,7662,2022,"Action, Comedy","Wit Studio, CloverWorks"
51009,Jujutsu Kaisen Season 2,TV,Manga,23,Finished Airing,FALSE,R - 17+ (violence & profanity),8.71,792328,60,110,1349022,25893,2023,"Action, Supernatural",MAPPA
51039,Battle Through The Heavens Season 5,ONA,Web novel,209,Currently Airing,TRUE,PG-13 - Teens 13 or older,8.43,4110,201,6650,12034,394,,"Action, Adventure, Fantasy",Motion Magic
51179,Mushoku Tensei: Jobless Reincarnation Season 2,TV,Light novel,12,Finished Airing,FALSE,R - 17+ (violence & profanity),8.2,432193,428,311,738698,7808,2023,"Adventure, Drama, Fantasy, Ecchi",Studio Bind
51440,Sasaki and Miyano: Graduation,Movie,Manga,1,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.31,21775,307,3221,59606,394,,Boys Love,Studio Deen
51535,Attack on Titan: Final Season - The Final Chapters,TV Special,Manga,2,Finished Airing,FALSE,R - 17+ (violence & profanity),8.86,515080,28,256,845798,17226,,"Action, Drama, Suspense",MAPPA
51805,Legend of the Galactic Heroes: Die Neue These - Intrigue,Movie,Novel,12,Finished Airing,FALSE,R - 17+ (violence & profanity),8.32,7415,299,5608,18614,72,,"Drama, Sci-Fi",Production I.G
52034,[Oshi No Ko],TV,Manga,11,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.54,607294,144,179,1026957,30999,2023,"Award Winning, Drama",Doga Kobo
52198,Kaguya-sama: Love is War -The First Kiss That Never Ends-,Movie,Manga,1,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.72,210857,53,731,371283,2320,,"Comedy, Drama, Romance",A-1 Pictures
52215,Orb: On the Movements of the Earth,TV,Manga,25,Finished Airing,FALSE,R - 17+ (violence & profanity),8.71,111596,57,995,279082,7028,2024,Drama,Madhouse
52299,Solo Leveling,TV,Web manga,12,Finished Airing,FALSE,R - 17+ (violence & profanity),8.18,685728,466,159,1106134,19819,2024,"Action, Adventure, Fantasy",A-1 Pictures
52578,The Dangers in My Heart,TV,Manga,12,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.21,223694,415,611,430403,6286,2023,"Comedy, Romance",Shin-Ei Animation
52588,Kaiju No. 8,TV,Manga,12,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.22,409452,401,331,708999,6649,2024,"Action, Fantasy, Sci-Fi",Production I.G
52684,Throne of Seal 2nd Season,ONA,Web novel,,Currently Airing,TRUE,PG-13 - Teens 13 or older,8.22,2849,406,8042,7550,159,,"Action, Adventure, Fantasy",Shenman Entertainment
52701,Delicious in Dungeon,TV,Manga,24,Finished Airing,FALSE,R - 17+ (violence & profanity),8.59,290372,110,436,565203,12165,2024,"Adventure, Comedy, Fantasy, Gourmet",Trigger
52742,Haikyu!! Movie: The Dumpster Battle,Movie,Manga,1,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.61,103057,100,1262,219941,1710,,Sports,Production I.G
52991,Frieren: Beyond Journey's End,TV,Manga,28,Finished Airing,FALSE,PG-13 - Teens 13 or older,9.28,823434,1,108,1353494,85889,2023,"Adventure, Drama, Fantasy",Madhouse
53065,My Dress-Up Darling Season 2,TV,Manga,12,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.19,186658,447,592,442053,4282,2025,Romance,CloverWorks
53111,Is It Wrong to Try to Pick Up Girls in a Dungeon? IV Part 2,TV,Light novel,11,Finished Airing,FALSE,R - 17+ (violence & profanity),8.25,153669,364,955,289107,1910,2023,"Action, Adventure, Fantasy",J.C.Staff
53223,Kingdom Season 5,TV,Manga,13,Finished Airing,FALSE,R - 17+ (violence & profanity),8.73,27697,51,3179,60806,617,2024,Action,"Studio Pierrot, Studio Signpost"
53236,Road of Naruto,PV,Manga,1,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.38,22622,,4078,38856,112,,"Action, Fantasy",Studio Pierrot
53273,JoJo's Bizarre Adventure: Stone Ocean Part 3,ONA,Manga,14,Finished Airing,FALSE,R - 17+ (violence & profanity),8.51,191125,154,952,290006,3493,,"Action, Adventure",David Production
53393,Heavenly Delusion,TV,Manga,13,Finished Airing,FALSE,R - 17+ (violence & profanity),8.21,287540,412,401,618506,7643,2023,"Adventure, Mystery, Sci-Fi",Production I.G
53447,To Be Hero X,ONA,Original,24,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.69,103226,68,1189,235112,4972,,Action,"Pb Animation, LAN Studio, Paper Plane Animation Studio, B.COOL STUDIO"
53540,Detective Conan Movie 26: Black Iron Submarine,Movie,Manga,1,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.34,9435,280,5591,18803,121,,"Action, Mystery",TMS Entertainment
53672,Violet Evergarden: Recollections,Special,Light novel,1,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.4,15799,228,3732,45841,175,,Drama,Kyoto Animation
53998,Bleach: Thousand-Year Blood War - The Separation,TV,Manga,13,Finished Airing,FALSE,R - 17+ (violence & profanity),8.7,227965,63,671,402248,5039,2023,"Action, Adventure, Supernatural",Studio Pierrot
54029,Scissor Seven: Shadow Fate,ONA,Original,10,Finished Airing,FALSE,R - 17+ (violence & profanity),8.25,20027,370,4058,39115,230,,"Action, Adventure, Comedy, Drama, Mystery",Sharefun Studio
54492,The Apothecary Diaries,TV,Light novel,24,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.85,452989,29,279,804754,27026,2023,"Drama, Mystery","OLM, TOHO animation STUDIO"
54595,The Eminence in Shadow Season 2,TV,Light novel,12,Finished Airing,FALSE,R - 17+ (violence & profanity),8.26,291417,348,484,520480,5190,2023,"Action, Comedy, Fantasy",Nexus
54857,Re:ZERO -Starting Life in Another World- Season 3,TV,Light novel,16,Finished Airing,FALSE,R - 17+ (violence & profanity),8.43,216013,196,536,480332,6426,2024,"Drama, Fantasy, Suspense",White Fox
54870,Rascal Does Not Dream of a Knapsack Kid,Movie,Light novel,1,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.28,77584,338,1533,177395,665,,"Drama, Romance, Supernatural",CloverWorks
54898,Bungo Stray Dogs 5,TV,Manga,11,Finished Airing,FALSE,R - 17+ (violence & profanity),8.6,118392,109,1093,253489,2942,2023,"Action, Mystery",Bones
54959,BanG Dream! It's MyGO!!!!!,TV,Mixed media,13,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.22,20035,396,3965,41278,1127,2023,Drama,SANZIGEN
55016,Idol,Music,Original,1,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.7,19027,,4775,27791,336,,,Doga Kobo
55102,Girls Band Cry,TV,Original,13,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.36,52901,256,1935,132916,3096,2024,Drama,Toei Animation
55255,Alien Stage,Music,Music,12,Finished Airing,FALSE,R - 17+ (violence & profanity),8.62,6794,,6040,15322,793,,"Drama, Sci-Fi, Suspense",LICO
55318,Medalist,TV,Manga,13,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.37,35832,247,2600,85964,613,2025,"Drama, Sports",ENGI
55357,Bocchi the Rock! Movie,Movie,4-koma manga,2,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.31,7956,300,2921,71014,443,,Comedy,CloverWorks
55644,Dr. Stone: New World Part 2,TV,Manga,11,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.3,224436,312,641,416630,1626,2023,"Adventure, Comedy",TMS Entertainment
55655,The Demon Hunter,ONA,Web novel,26,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.17,2017,482,9376,5114,66,,"Action, Adventure, Fantasy",Shenman Entertainment
55690,The Dangers in My Heart Season 2,TV,Manga,13,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.7,171293,64,920,300348,6065,2024,"Comedy, Romance",Shin-Ei Animation
55772,Golden Kamuy Final Season,TV,Manga,13,Currently Airing,TRUE,R - 17+ (violence & profanity),8.35,3887,273,3538,50303,119,2026,"Action, Adventure",Brain's Base
55791,[Oshi No Ko] Season 2,TV,Manga,13,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.52,246646,152,510,501186,6043,2024,Drama,Doga Kobo
