mal_id,title_english,type,source,episodes,status,airing,rating,score,scored_by,rank,popularity,members,favorites,year,genres,studios
56752,Link Click: Bridon Arc,ONA,Original,6,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.3,26555,310,3053,65612,509,,Drama,CMC Media
56784,Bleach: Thousand-Year Blood War - The Conflict,TV,Manga,14,Finished Airing,FALSE,R - 17+ (violence & profanity),8.67,150025,75,976,284293,3642,2024,"Action, Adventure, Supernatural",Pierrot Films
57067,A Record Of Mortal's Journey To Immortality 3rd Season,ONA,Web novel,48,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.35,1648,269,10323,3824,38,,"Action, Adventure, Fantasy","Original Force, Wonder Cat Animation"
57181,Blue Box,TV,Manga,25,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.16,144693,487,880,317439,4284,2024,"Romance, Sports",Telecom Animation Film
57334,Dan Da Dan,TV,Manga,12,Finished Airing,FALSE,R - 17+ (violence & profanity),8.43,569567,200,213,934770,15314,2024,"Action, Comedy, Supernatural",Science SARU
57433,Rascal Does Not Dream of Santa Claus,TV,Light novel,13,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.17,63308,474,1368,201985,1096,2025,"Drama, Romance, Supernatural",CloverWorks
57555,Chainsaw Man – The Movie: Reze Arc,Movie,Manga,1,Finished Airing,FALSE,R - 17+ (violence & profanity),9.09,255607,4,643,414906,12097,,"Action, Fantasy",MAPPA
57592,Dr. Stone: Science Future,TV,Manga,12,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.25,140007,363,942,291503,1231,2025,"Adventure, Comedy",TMS Entertainment
57647,Umamusume: Pretty Derby - Beginning of a New Era,Movie,Game,1,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.64,31358,88,3481,51915,894,,Sports,CygamesPictures
57658,Jujutsu Kaisen: The Culling Game Part 1,TV,Manga,12,Currently Airing,TRUE,R - 17+ (violence & profanity),8.58,59958,116,719,376037,2285,2026,"Action, Supernatural",MAPPA
57864,Monogatari Series: Off & Monster Season,ONA,Light novel,14,Finished Airing,FALSE,R - 17+ (violence & profanity),8.65,38177,81,2360,100749,884,,"Comedy, Mystery, Supernatural",Shaft
58125,Look Back,Movie,Manga,1,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.62,130945,94,1215,230531,4739,,Drama,Studio DURIAN
58222,given The Movie: To the Sea,Movie,Manga,1,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.49,9099,168,4669,29188,157,,"Boys Love, Drama",Lerche
58390,Call of the Night Season 2,TV,Manga,12,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.34,84514,282,1218,229491,1611,2025,"Romance, Supernatural",LIDENFILMS
58514,The Apothecary Diaries Season 2,TV,Light novel,24,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.91,242040,21,541,473519,7352,2025,"Drama, Mystery","OLM, TOHO animation STUDIO"
58567,Solo Leveling Season 2: Arise from the Shadow,TV,Web manga,13,Finished Airing,FALSE,R - 17+ (violence & profanity),8.57,477518,120,307,747459,11279,2025,"Action, Adventure, Fantasy",A-1 Pictures
58572,Shangri-La Frontier Season 2,TV,Manga,25,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.26,126179,350,1095,253338,1532,2024,"Action, Adventure, Fantasy",C2C
58788,Journal with Witch,TV,Manga,13,Currently Airing,TRUE,PG-13 - Teens 13 or older,8.69,10607,70,2856,73698,638,2026,Drama,Shuka
58919,100 Meters,Movie,Web manga,1,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.35,32981,274,3208,60014,577,,"Drama, Sports",Rock'n Roll Mountain
59027,Spy x Family Season 3,TV,Manga,13,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.21,111238,411,872,320028,1787,2025,"Action, Comedy","Wit Studio, CloverWorks"
59062,Gachiakuta,TV,Manga,24,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.22,187009,399,577,451756,5156,2025,"Action, Fantasy",Bones Film
59150,Scissor Seven: Fragments of Memory,ONA,Original,10,Finished Airing,FALSE,R - 17+ (violence & profanity),8.27,7047,342,5661,18124,77,,"Action, Adventure, Comedy, Drama, Mystery, Sci-Fi, Supernatural",Sharefun Studio
59192,Demon Slayer: Kimetsu no Yaiba - The Movie: Infinity Castle - Part 1: Akaza Returns,Movie,Manga,1,Finished Airing,FALSE,R - 17+ (violence & profanity),8.68,172026,72,785,346572,3319,,"Action, Supernatural",ufotable
59228,Black Butler: Emerald Witch Arc,TV,Manga,13,Finished Airing,FALSE,R - 17+ (violence & profanity),8.16,24340,492,2932,70532,549,2025,"Action, Mystery, Supernatural",CloverWorks
59408,Mononoke The Movie: Chapter II - The Ashes of Rage,Movie,Original,1,Finished Airing,FALSE,R - 17+ (violence & profanity),8.26,5411,349,5429,20306,83,,"Horror, Mystery, Supernatural, Suspense","EOTA, Crew-Cell"
59571,Attack on Titan: The Last Attack,Movie,Manga,1,Finished Airing,FALSE,R - 17+ (violence & profanity),8.83,36382,32,2707,80687,592,,"Action, Drama, Suspense",MAPPA
59636,Umamusume: Cinderella Gray,TV,Manga,13,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.57,45605,123,2491,92403,1323,2025,"Drama, Sports",CygamesPictures
59845,The Fragrant Flower Blooms with Dignity,TV,Web manga,13,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.55,199931,136,633,419445,8137,2025,"Drama, Romance",CloverWorks
59897,Miss Kobayashi's Dragon Maid: A Lonely Dragon Wants to be Loved,Movie,Manga,1,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.32,7967,291,3479,51954,139,,"Slice of Life, Supernatural",Kyoto Animation
59953,Tales of Herding Gods,ONA,Web novel,,Currently Airing,TRUE,PG-13 - Teens 13 or older,8.28,12856,337,6049,15245,55,,"Action, Adventure, Fantasy",Sparkly Key Animation Studio
59978,Frieren: Beyond Journey's End Season 2,TV,Manga,10,Currently Airing,TRUE,PG-13 - Teens 13 or older,9.16,62148,2,644,414180,5476,2026,"Adventure, Drama, Fantasy",Madhouse
59986,Grand Blue Dreaming Season 2,TV,Manga,12,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.5,81822,160,1445,188992,1267,2025,Comedy,"Zero-G, Liber"
60022,One Piece Fan Letter,TV Special,Light novel,1,Finished Airing,FALSE,PG-13 - Teens 13 or older,9.02,105906,13,1788,146484,2538,,"Action, Adventure, Fantasy",Toei Animation
60058,[Oshi No Ko] Season 3,TV,Manga,11,Currently Airing,TRUE,PG-13 - Teens 13 or older,8.59,23588,113,1295,213637,1194,2026,Drama,Doga Kobo
60098,My Hero Academia Final Season,TV,Manga,11,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.73,137508,49,994,279531,2644,2025,Action,Bones Film
60371,You and I Are Polar Opposites,TV,Manga,12,Currently Airing,TRUE,PG-13 - Teens 13 or older,8.2,20860,429,2095,119628,582,2026,"Comedy, Romance",Lapin Track
60420,The Demon Hunter 2,ONA,Web novel,36,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.19,919,440,12270,2212,24,,"Action, Adventure, Fantasy","Shenman Entertainment, Tianshi Wenhua"
60489,Takopi's Original Sin,ONA,Manga,6,Finished Airing,FALSE,R - 17+ (violence & profanity),8.76,160890,45,939,292240,6138,,"Drama, Sci-Fi",Enishiya
60543,Dan Da Dan Season 2,TV,Manga,12,Finished Airing,FALSE,R - 17+ (violence & profanity),8.42,269862,206,485,519186,3691,2025,"Action, Comedy, Supernatural",Science SARU
60544,Ne Zha 2,Movie,Original,1,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.48,4831,170,7123,10269,63,,"Action, Comedy, Drama, Fantasy",October Media
60557,A Record Of Mortal's Journey To Immortality 4th Season,ONA,Web novel,52,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.55,1087,130,11492,2741,43,,"Action, Adventure, Fantasy","Original Force, Wonder Cat Animation"
60988,Heaven Official's Blessing Short Films,ONA,Web novel,,Currently Airing,TRUE,PG-13 - Teens 13 or older,8.47,2138,174,6983,10704,164,,"Action, Adventure, Drama, Fantasy",Red Dog Culture House
61322,Dr. Stone: Science Future Part 2,TV,Manga,12,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.52,101932,149,1331,207410,821,2025,"Adventure, Comedy",TMS Entertainment
61335,Medalist Season 2,TV,Manga,9,Currently Airing,TRUE,PG-13 - Teens 13 or older,8.42,3876,209,4478,31774,99,2026,"Drama, Sports",ENGI
61517,Kingdom Season 6,TV,Manga,13,Finished Airing,FALSE,R - 17+ (violence & profanity),8.69,15326,71,4243,35778,458,2025,Action,"Studio Pierrot, Studio Signpost"
61903,Kaguya-sama: Love Is War - Stairway to Adulthood,TV Special,Manga,1,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.55,41645,135,2507,91617,302,,"Comedy, Romance",A-1 Pictures
61930,Umamusume: Cinderella Gray Part 2,TV,Manga,10,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.67,27931,78,3298,57131,503,2025,"Drama, Sports",CygamesPictures
61952,The Legend of Hei 2,Movie,Original,1,Finished Airing,FALSE,G - All Ages,8.62,1977,95,7680,8492,65,,"Adventure, Drama, Fantasy",HMCH
62896,Cosmic Princess Kaguya!,ONA,Original,1,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.51,30013,157,3049,65838,1487,,"Action, Sci-Fi, Supernatural","Studio Colorido, Studio Chromato"
63019,Love Through a Prism,ONA,Original,20,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.53,13516,146,3887,42869,750,,"Drama, Romance",Wit Studio
